,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
1942,Cleared: Incident on #NLine SB from Queensboro Plaza Station to 59th Street-Lexington Avenue Station,0.903,0.1027,cleared incident nline sb queens boro plaza station 59th street lexington avenue station ,40.629761829334186,-74.1337708822143
1943,Construction on #I95 NB at I-678- Hutchinson River Expressway https://t.co/NvBQuu2sAt,1.0,0.0,construction i95 nb 678 hutchinson river express way https co nv bquu2s ,40.8203659502604,-73.83571997234247
1944,Construction on #NY27 WB at Exit 50 - Lincoln Avenue; Broadway Avenue https://t.co/SfHiMGWOjA,1.0,0.0,construction new york 27 wb exit 50 lincoln avenue broad way avenue https co sf hi mgwoj ,40.58050465331436,-74.11083087050861
1945,Cleared: Incident on #JLine at Broad Street Station,0.833,0.1027,cleared incident jline broad street station ,40.706707173262856,-74.01092921479326
1946,Incident on #GeorgeWashingtonBridge WB at New York Side/Upper Level https://t.co/Mjv4rtlIOX,1.0,0.0,incident george washington bridge wb new york side upper level https co mjv4l iox ,40.71455000000003,-74.00713999999994
1947,Updated: Incident on #CityLine at Lindenwold Station https://t.co/OaADnDQ0vw,1.0,0.0,updated incident city line lindenwold station https co oa adn dq0vw ,40.676210000000026,-73.88707999999997
1948,Closure on #NorthernStateParkway WB at Exit 29 - Roslyn Road https://t.co/s0iHFtMtxz,1.0,0.0,closure nohern state park way wb exit 29 roslyn road https co s0i hft mtxz ,40.71455000000003,-74.00713999999994
1949,Special Event on #BrooklynBatteryTunnel https://t.co/kcn1VBmOm7,0.597,0.4019,special event brooklyn battery tunnel https co kcn1vbm om7 ,40.69617435282249,-74.01359309789228
1950,Cleared: Incident on #NY9A SB at West 11th Street,0.851,0.1027,cleared incident new york 9a sb west 11th street ,40.735899256450146,-74.00553635860474
1951,Closure on #BatteryParkUnderpass SB from NY 9A/West Street to FDR Drive https://t.co/mOIJMlsEO0,1.0,0.0,closure battery park underpass sb new york 9a west street fdr drive https co oijmls eo0 ,40.70518944797987,-74.0172755737572
