,CRASH TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,COLLISION_ID,distance,severity,neutral sentiment,target
67,1245,40.732215999999994,-73.95565,0,0,0,0,0,0,0,0,4344457,173,55,1,1
68,1230,40.62303,-74.13844,0,0,0,0,0,0,0,0,4359202,372,57,0,1
69,240,40.833473,-73.84509,1,0,0,0,0,0,1,0,4371420,521,43,1,1
70,1300,40.7696,-73.95470999999999,1,0,1,0,0,0,0,0,4364709,262,76,0,1
71,1300,40.812187,-73.94995,1,0,0,0,1,0,0,0,4360515,391,46,1,1
72,1530,40.85517,-73.89129,0,0,0,0,0,0,0,0,4357575,267,39,1,1
73,1550,40.759308000000004,-73.9653,0,0,0,0,0,0,0,0,4367727,198,124,1,1
74,630,40.69245,-73.81100500000001,3,0,0,0,0,0,3,0,4367469,505,28,0,1
75,1814,40.698345,-73.92158,1,0,0,0,0,0,1,0,4365976,444,61,1,1
76,1630,40.862732,-73.90333000000001,1,0,1,0,0,0,0,0,4371922,229,38,1,1
77,1905,40.811752,-73.95283,0,0,0,0,0,0,0,0,4359980,314,39,1,1
78,1744,40.603054,-74.00825,1,0,0,0,0,0,1,0,4363150,670,6,0,1
79,1645,40.78031,-73.98569,1,0,0,0,0,0,1,0,4361765,138,44,0,1
80,830,40.65117,-73.9419,0,0,0,0,0,0,0,0,4360994,655,28,0,1
81,754,40.596325,-73.76673000000001,0,0,0,0,0,0,0,0,4371169,216,13,0,1
82,2205,40.689728,-73.99016999999999,0,0,0,0,0,0,0,0,4365172,15,161,1,1
83,1500,40.717308,-73.76641,0,0,0,0,0,0,0,0,4362055,230,9,1,1
84,30,40.72586,-73.90016999999999,0,0,0,0,0,0,0,0,4366285,482,19,1,1
85,1950,40.54585,-74.164604,0,0,0,0,0,0,0,0,4368137,470,21,1,1
86,1600,40.665257000000004,-73.73955500000001,0,0,0,0,0,0,0,0,4372013,572,4,1,1
87,1045,40.764988,-73.96115999999999,0,0,0,0,0,0,0,0,4357318,195,105,0,1
88,200,40.75206,-73.854256,0,0,0,0,0,0,0,0,4368573,281,13,0,1
89,1755,40.876503,-73.90456400000001,0,0,0,0,0,0,0,0,4367808,405,31,0,1
90,126,40.710632000000004,-73.74085,0,0,0,0,0,0,0,0,4363013,461,5,0,1
91,1605,40.72368,-73.89961,1,0,0,0,1,0,0,0,4370673,490,21,1,1
92,1230,40.58313,-73.9654,0,0,0,0,0,0,0,0,4358604,281,34,1,1
93,2105,40.693090000000005,-73.94296,0,0,0,0,0,0,0,0,4365494,518,84,1,1
94,2330,40.81133,-73.96403000000001,2,0,0,0,2,0,0,0,4364380,335,25,1,1
95,2108,40.639446,-74.02696,0,0,0,0,0,0,0,0,4370823,251,59,1,1
96,1230,40.853477000000005,-73.82621999999999,1,0,0,0,0,0,1,0,4357437,190,17,0,1
97,1930,40.635258,-73.92745,0,0,0,0,0,0,0,0,4367841,939,5,1,1
98,1200,40.639523,-74.171265,0,0,0,0,0,0,0,0,4363533,45,26,0,1
99,1120,40.693874,-73.91776999999999,1,0,0,0,0,0,1,0,4369330,179,53,1,1
100,1436,40.84319,-73.86874,0,0,0,0,0,0,0,0,4362538,321,24,1,1
101,0,40.71767,-73.98484,0,0,0,0,0,0,0,0,4369644,93,194,0,1
102,2030,40.865505,-73.863525,0,0,0,0,0,0,0,0,4359119,731,12,1,1
103,1515,40.630109999999995,-74.01001,1,0,0,0,1,0,0,0,4371637,438,21,1,1
104,1327,40.68645,-73.761185,0,0,0,0,0,0,0,0,4364619,798,6,1,1
105,905,40.66252,-73.84071,0,0,0,0,0,0,0,0,4357508,586,13,1,1
106,0,40.667145,-73.882576,0,0,0,0,0,0,0,0,4371806,72,50,0,1
107,1007,40.709827000000004,-73.83983,2,0,0,0,0,0,2,0,4368967,86,20,0,1
108,1105,40.65487,-73.96191,0,0,0,0,0,0,0,0,4371309,77,42,1,1
109,1400,40.66385,-73.87519,0,0,0,0,0,0,0,0,4358277,548,27,0,1
110,2250,40.804695,-73.92239000000001,3,0,0,0,0,0,3,0,4364047,202,58,0,1
111,1809,40.636627000000004,-73.94226,0,0,0,0,0,0,0,0,4366130,615,8,0,1
112,1230,40.793663,-73.943665,0,0,0,0,0,0,0,0,4357874,182,49,0,1
113,1155,40.81832,-73.92636999999999,1,0,0,0,1,0,0,0,4364597,370,63,0,1
114,1530,40.61996,-74.02365999999999,0,0,0,0,0,0,0,0,4370146,273,29,1,1
115,2345,40.748337,-74.00177,0,0,0,0,0,0,0,0,4366509,390,108,1,1
116,850,40.67862,-73.87906,0,0,0,0,0,0,0,0,4369196,439,44,0,1
117,2034,40.84487,-73.92068,0,0,0,0,0,0,0,0,4371682,64,60,1,1
118,1824,40.709225,-73.84315500000001,0,0,0,0,0,0,0,0,4368820,252,21,0,1
119,55,40.904663,-73.849686,0,0,0,0,0,0,0,0,4361681,753,4,1,1
120,1700,40.69733,-73.78456,1,0,0,0,0,0,1,0,4372897,487,27,1,1
121,1420,40.668495,-73.925606,0,0,0,0,0,0,0,0,4358831,292,22,1,1
122,1745,40.636803,-73.939415,0,0,0,0,0,0,0,0,4363008,532,8,0,1
123,1500,40.786423,-73.82394000000001,1,0,0,0,0,0,1,0,4360187,610,66,1,1
124,430,40.534797999999995,-74.23591,0,0,0,0,0,0,0,0,4372214,116,12,0,1
125,1700,40.762226,-73.96819,0,0,0,0,0,0,0,0,4359718,237,120,1,1
126,1815,40.69141,-73.760544,0,0,0,0,0,0,0,0,4371100,1153,5,1,1
127,746,40.857048,-73.90691,1,0,0,0,0,0,1,0,4366813,359,49,1,1
128,2112,40.824529999999996,-73.91019,0,0,0,0,0,0,0,0,4368265,939,35,1,1
129,1720,40.798836,-73.93938399999999,1,0,1,0,0,0,0,0,4360232,135,58,1,1
130,1109,40.837475,-73.94414,0,0,0,0,0,0,0,0,4364166,287,29,1,1
131,1410,40.85535,-73.91835999999999,1,0,0,0,0,0,1,0,4369336,583,69,1,1
132,2045,40.615463,-74.069466,0,0,0,0,0,0,0,0,4372118,146,54,1,1
133,800,40.7285,-73.91798,0,0,0,0,0,0,0,0,4358953,449,23,1,1
134,2127,40.657740000000004,-73.93001,0,0,0,0,0,0,0,0,4367857,689,20,1,1
135,1930,40.779971999999994,-73.90187,0,0,0,0,0,0,0,0,4364409,560,22,0,1
136,140,40.837894,-73.88138000000001,2,0,0,0,0,0,2,0,4357567,109,25,0,1
137,1420,40.722324,-74.01178,0,0,0,0,0,0,0,0,4368222,263,275,1,1
138,1748,40.640205,-73.98001,1,0,1,0,0,0,0,0,4373774,15,42,0,1
139,1315,40.783896999999996,-73.97407,0,0,0,0,0,0,0,0,4359330,250,53,0,1
140,1025,40.75895,-73.96849,1,0,1,0,0,0,0,0,4365784,74,126,1,1
141,1200,40.846478000000005,-73.93400600000001,0,0,0,0,0,0,0,0,4369784,113,56,1,1
142,1330,40.651432,-73.97582,0,0,0,0,0,0,0,0,4359606,119,38,0,1
143,1230,40.683975,-74.00154,1,0,0,0,0,0,1,0,4357131,361,108,1,1
