,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
2,Cleared: Incident on #I678 SB from Jackie Robinson Parkway to Linden Boulevard,0.887,0.1027,cleared incident i678 south bound jackie robinson park way linden boulevard ,40.684574,-73.800064
3,Incident on #TaconicStateParkway SB at Exit - Baird Park Road https://t.co/qZAY3hptp2,1.0,0.0,incident taconic state park way south bound exit baird park road https co q zay3hptp2 ,39.119263,-105.717125
4,Cleared: Incident on #HarlemLine from Scarsdale Station to Hartsdale Station,0.865,0.1027,cleared incident harlem line scarsdale station ha route sdale station ,40.71455,-74.00714
5,Construction on #NJ3 EB from Ridge Rd to Berrys Creek Bridge https://t.co/362DgPBAc6,1.0,0.0,construction new jersey 3 east bound ridge rd berrys creek bridge https co 362dg pbac6 ,40.77346,-73.75211
8,Incident on #CoastLine at New York Penn Station https://t.co/rSlhcoLUYb,1.0,0.0,incident coast line new york penn station https co r slhco luyb ,39.96453,-76.7243
9,Construction on #I84W WB at Exit 10 (CHURCH HILL RD) https://t.co/fq79pgcCi4,1.0,0.0,construction interstate 84 w west bound exit 10 church hill rd https co fq79pgc ci4 ,52.11073,-9.100681
10,Cleared: Incident on #I678 SB at Belt System - Southern Parkway,0.865,0.1027,cleared incident i678 south bound belt system southern park way  ,7.96273,-11.7641
11,Incident on #JerseyLine at New York Penn Station https://t.co/rSlhcoLUYb,1.0,0.0,incident jersey line new york penn station https co r slhco luyb ,39.96453,-76.7243
15,Incident on #CorridorLine at Trenton Station https://t.co/UyLPMVHNak,1.0,0.0,incident corridor line trenton station https co uy lpmvhnak ,40.71455,-74.00714
21,Cleared: Incident on #I278 EB from 60th Street to Queens-Kings County Line; Koskuisko Bridge,0.903,0.1027,cleared incident i278 east bound 60th street queens kings county line koskuisko bridge ,40.6501,-73.94958
26,Incident on #I95 SB at Rosedale Avenue; Ramp https://t.co/QZENQ0zuPE,1.0,0.0,incident interstate 95 south bound rosedale avenue ramp https co qzenq0zu pe ,39.371872,-76.457756
30,Construction on #I395S SB at Exit 13 (RTES 2 &amp; 32 EB) https://t.co/8wwQsofxns,1.0,0.0,construction i395s south bound exit 13 route 2 amp 32 east bound https co 8ww qsofxns ,40.71455,-74.00714
31,Incident on #S15S SB at 0.10 miles before Exit 86 (I-91 SB) https://t.co/v6XQXRjDn8,0.822,-0.3818,incident s15s south bound 0 10 miles exit 86 91 south bound https co v6xqxrj dn8 ,51.61706,-8.91352
32,Incident on #NorthLine at New York Penn Station https://t.co/rSlhcoLUYb,1.0,0.0,incident route h line new york penn station https co r slhco luyb ,39.96453,-76.7243
34,Construction on #S15S SB at 2.74 miles beyond Exit 44 (RTE 58) https://t.co/yfaTDFtyUW,1.0,0.0,construction s15s south bound 2 74 miles beyond exit 44 route 58 https co yfa tdfty uw ,51.61706,-8.91352
35,Cleared: Incident on #I95 NB from I-95 to Hutchinson River Parkway,0.877,0.1027,cleared incident interstate 95 route h bound 95 hutchinson river park way  ,40.71455,-74.00714
36,Incident on #B6Bus Both directions at Cozine Avenue:Pennsylvania Avenue https://t.co/V6BuD5OKsJ,1.0,0.0,incident b6bus directions cozine avenue pennsylvania avenue https co v6bu d5oks j ,40.65151,-73.88544
37,Closure on #US19 SB at I-78 https://t.co/gSxt9Ck07q,1.0,0.0,closure us19 south bound 78 https co g sxt9ck07q ,40.71455,-74.00714
40,Cleared: Incident on #NJ21 SB at Exit 14 - US 46,0.865,0.1027,cleared incident new jersey 21 south bound exit 14 us 46 ,40.847195,-73.94501
41,Construction on #I84E EB at Exit 9 (RTE 25) https://t.co/edE3wffbEC,1.0,0.0,construction interstate 84 e east bound exit 9 route 25 https co ed e3wffb ec ,40.71455,-74.00714
42,Incident on #NortheastLine at Trenton Station https://t.co/UyLPMVHNak,1.0,0.0,incident route heast line trenton station https co uy lpmvhnak ,40.71455,-74.00714
43,Cleared: Incident on #I495 EB from Exit 17E - I-278 to Exit 31 - Cross Island Parkway,0.909,0.1027,cleared incident i495 east bound exit 17e 278 exit 31 cross island park way  ,40.6012,-73.65589
44,Incident on #I278 EB at Rosedale Avenue https://t.co/ICD6EAzdbB,1.0,0.0,incident i278 east bound rosedale avenue https co icd6eazdb b ,40.548534,-74.193726
45,Construction on #I95S SB at Exit 29 (RTE 130 (CONN AV)) https://t.co/tIGqS21MX2,1.0,0.0,construction interstate 95 south bound exit 29 route 130 conn av https co igq s21mx2 ,40.8498,-73.94294
46,Cleared: Incident on #NewJerseyTurnpike at Interchange 13 - I-278/Goethals Bridge,0.851,0.1027,cleared incident new jersey turnpike interchange 13 278 goethals bridge ,43.03392,-76.45138
49,Cleared: Construction on #NY313 Both directions at Pine Lane,0.851,0.1027,cleared construction new york 313 directions pine lane ,40.71455,-74.00714
50,Construction on #I195 EB from West of Exit 1 - US 206 to Exit 7 - CR 526 https://t.co/ERIQs12Vw9,1.0,0.0,construction i195 east bound west exit 1 us 206 exit 7 cr 526 https co eriqs12vw9 ,40.71455,-74.00714
51,tweet,1.0,0.0,tweet ,41.32125,-74.34017
57,Updated: Construction on #NY96 Both directions from Mitchell Rd. to Garnsey Rd https://t.co/n79lc8Fd8z,1.0,0.0,updated construction new york 96 directions mitchell rd garnsey rd https co n79lc8fd8z ,43.15799,-70.62233
59,Updated: Incident on #NJ21 SB at Exit 14 - US 46 https://t.co/HEDEjlusPT,1.0,0.0,updated incident new jersey 21 south bound exit 14 us 46 https co hedejlus pt ,40.71455,-74.00714
62,Cleared: Incident on #ShuttleBus at 35th Street &amp; FDR Terminal,0.865,0.1027,cleared incident shuttle bus 35th street amp fdr terminal ,40.77474,-73.90905
63,Cleared: Construction on #NY96 Both directions from Mitchell Rd. to Garnsey Rd,0.887,0.1027,cleared construction new york 96 directions mitchell rd garnsey rd ,43.15799,-70.62233
65,Cleared: Construction on #US9 SB from Old Hopewell Road; CR 28 to Fowlerhouse Road,0.903,0.1027,cleared construction us9 south bound old hopewell road cr 28 fowlerhouse road ,42.89369,-77.18291
66,Cleared: Closure on #OTHER NB at Other Road,0.833,0.1027,cleared closure route h bound road ,40.71455,-74.00714
68,Cleared: Incident on #NewJerseyTurnpikePennsylvaniaExt WB at Toll Plaza,0.833,0.1027,cleared incident new jersey turnpike pennsylvania ext west bound toll plaza ,40.71455,-74.00714
70,Cleared: Special Event on #BrooklynBatteryTunnel SB at Brooklyn Bound,0.631,0.4767,cleared special event brooklyn battery tunnel south bound brooklyn bound ,40.678783,-73.944084
71,Cleared: Construction on #NY14A SB,0.741,0.1027,cleared construction new york 14a south bound  ,53.95409,-1.0917733
72,Cleared: Incident on #NJ17 NB from I-80 to Passaic St,0.865,0.1027,cleared incident new jersey 17 route h bound 80 passaic st ,40.86034,-74.12374
73,Cleared: Construction on #NY7 Both directions from Exit to I-787; Exit to NY 787 to I-87 Exit 6,0.92,0.1027,cleared construction new york 7 directions exit 787 exit new york 787 87 exit 6 ,40.71455,-74.00714
74,Incident on #JerseyLine from South Amboy Station to Matawan Station https://t.co/JlEOtODvdM,1.0,0.0,incident jersey line south amboy station matawan station https co jl eot odvd ,43.37718,-75.93681
75,Construction on #I287 Both directions from Exit 35 - NJ 124 to Exit 42 - US 46 https://t.co/J4OwdozjPY,1.0,0.0,construction i287 directions exit 35 new jersey 124 exit 42 us 46 https co j4owdozj py ,40.71455,-74.00714
79,Construction on #I395S SB at 0.09 miles before Exit 14 (WEST TOWN ST) https://t.co/5eJRMAb2CL,1.0,0.0,construction i395s south bound 0 09 miles exit 14 west town st https co 5e jrmab2cl ,41.33593,-74.54127
80,Construction on #I78 WB at Exit 58 - US 1&amp;9/E. Port St https://t.co/ZSnKyIkw33,1.0,0.0,construction i78 west bound exit 58 us 1 amp 9 e po route st https co zsn ky ikw33 ,38.42758,-84.80796
82,Cleared: Incident on #MidtownBus at 35th Street &amp; FDR Terminal,0.865,0.1027,cleared incident midtown bus 35th street amp fdr terminal ,40.77474,-73.90905
83,Construction on #I95N NB at Exit 92 (RTE 2) https://t.co/mAT2XF6WcB,1.0,0.0,construction interstate 95 n route h bound exit 92 route 2 https co at2xf6wc b ,40.849625,-73.94278
84,Construction on #I287 NB from Exit 22 - US 202 to Exit 35 - NJ 124 https://t.co/qw7A2MTWt7,1.0,0.0,construction i287 route h bound exit 22 us 202 exit 35 new jersey 124 https co qw7a2mtwt7 ,40.71455,-74.00714
85,Cleared: Construction on #320Bus Both directions from Mill Creek to North Bergen Park &amp; Ride-New York,0.915,0.1027,cleared construction 320bus directions mill creek route h bergen park amp ride new york  ,40.71455,-74.00714
87,Incident on #CoastLine from South Amboy Station to Matawan Station https://t.co/JlEOtODvdM,1.0,0.0,incident coast line south amboy station matawan station https co jl eot odvd ,43.37718,-75.93681
88,Cleared: Construction on #NY43 Both directions from Reichards Lake Road; NY 351 to Shephard Rd,0.909,0.1027,cleared construction new york 43 directions reichards lake road new york 351 shephard rd ,40.71455,-74.00714
90,Cleared: Construction on #85Bus Both directions from Mill Creek-Harmon Meadow to Hoboken,0.887,0.1027,cleared construction 85bus directions mill creek harmon meadow hoboken ,41.20121,-73.88347
91,Cleared: Construction on #127Bus Both directions from Ridgefield to Union City-New York,0.887,0.1027,cleared construction 127bus directions ridgefield union city new york  ,40.71455,-74.00714
93,Cleared: Incident on #Q29Bus Both directions at 80th St/78th Ave,0.865,0.1027,cleared incident q29bus directions 80th st 78th ave ,40.7113,-73.83938
94,Cleared: Construction on #NY80 Both directions from US 20 to Town of Otisco; Town of Tully Line,0.92,0.1027,cleared construction new york 80 directions us 20 town otisco town tully line ,42.85151,-76.21544
95,Cleared: Construction on #83Bus Both directions from Hackensack to Journal Square,0.877,0.1027,cleared construction 83bus directions hackensack journal square ,40.71455,-74.00714
96,Construction on #US202 Both directions from Gilbert Street to Maple Hill Street https://t.co/I27PduW4U4,1.0,0.0,construction us202 directions gilbe route street maple hill street https co i27pdu w4u4 ,41.88104,-74.04759
97,Incident on #NorthLine Both directions from South Amboy Station to Matawan Station https://t.co/JlEOtODvdM,1.0,0.0,incident route h line directions south amboy station matawan station https co jl eot odvd ,43.37718,-75.93681
100,Updated: Incident on #I678 NB at I-495 Long Island Expressway https://t.co/F6Yjx9EPpu,1.0,0.0,updated incident i678 route h bound 495 long island express way https co f6yjx9eppu ,40.764446,-73.7216
