,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
1,Cleared: Incident on #B67Bus at Brooklyn,0.781,0.1027,cleared incident b67bus brooklyn  ,40.69245,-73.99036
2,Cleared: Incident on #B48Bus at Brooklyn,0.781,0.1027,cleared incident b48bus brooklyn  ,40.678505,-73.94417
3,Cleared: Incident on #B83Bus at Brooklyn,0.781,0.1027,cleared incident b83bus brooklyn  ,40.69245,-73.99036
4,Cleared: Incident on #B4Bus Both directions at Brooklyn,0.833,0.1027,cleared incident b4bus directions brooklyn  ,40.69245,-73.99036
5,Closure on #US19TonnelleAvenue SB at Secaucus Rd https://t.co/9sAa7HmZrD,1.0,0.0,closure us19tonnelle avenue south bound secaucus rd https co 9s aa7hm zr ,40.71455,-74.00714
6,Closure on #OTHER NB at Other Road https://t.co/ItWP4oRsw8,1.0,0.0,closure route h bound road https co wp4o rsw8 ,40.71455,-74.00714
7,Cleared: Incident on #B43Bus at Brooklyn,0.781,0.1027,cleared incident b43bus brooklyn  ,40.678505,-73.94405
8,Incident on #NY67 at I-87 Exit 12 https://t.co/0IIkBvIlLi,1.0,0.0,incident new york 67 87 exit 12 https co 0iik bv il li ,40.71455,-74.00714
9,Incident on #3Line at 125 St https://t.co/YZ3WAy3ddG,1.0,0.0,incident 3line 125 st https co yz3 way 3dd g ,40.71455,-74.00714
11,Cleared: Incident on #B9Bus at Brooklyn,0.781,0.1027,cleared incident b9bus brooklyn  ,40.69245,-73.99036
12,Cleared: Incident on #B35Bus at Brooklyn,0.781,0.1027,cleared incident b35bus brooklyn  ,40.678802,-73.94402
13,Cleared: Incident on #B17Bus at Brooklyn,0.781,0.1027,cleared incident b17bus brooklyn  ,40.69245,-73.99036
14,Construction on #US920 SB at NY 150 https://t.co/wYhb0b19KF,1.0,0.0,construction us920 south bound new york 150 https co w yhb0b19kf ,40.71455,-74.00714
15,Cleared: Incident on #B65Bus at Brooklyn,0.781,0.1027,cleared incident b65bus brooklyn  ,40.69245,-73.99036
16,Cleared: Incident on #B16Bus at Brooklyn,0.781,0.1027,cleared incident b16bus brooklyn  ,40.69245,-73.99036
17,Cleared: Incident on #B70Bus at Brooklyn,0.781,0.1027,cleared incident b70bus brooklyn  ,40.69245,-73.99036
18,Closure on #US22 EB at East of Garden State Parkway https://t.co/7EdmepuD6c,1.0,0.0,closure us22 east bound east garden state park way https co 7edmepu d6c ,39.119263,-105.717125
19,Incident on #I287 NB at North of Exit 47 - US 202 https://t.co/wQb9HEG4Xg,1.0,0.0,incident i287 route h bound route h exit 47 us 202 https co w qb9heg4xg ,40.71455,-74.00714
20,Cleared: Incident on #B38Bus at Brooklyn,0.781,0.1027,cleared incident b38bus brooklyn  ,40.678814,-73.94414
22,Cleared: Incident on #B69Bus at Brooklyn,0.781,0.1027,cleared incident b69bus brooklyn  ,40.69245,-73.99036
23,Cleared: Incident on #I87Northway SB at Exit 10; Ushers Road,0.865,0.1027,cleared incident interstate 87 route h way south bound exit 10 ushers road ,42.90813,-73.77373
24,Cleared: Incident on #Q59Bus at Brooklyn,0.781,0.1027,cleared incident q59bus brooklyn  ,40.69245,-73.99036
